column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2009,ALASKA,ANCHORAGE,283300,1C,21487,11886,3014,6015,369,243,52,415,266,65,1574,728,140
UCR_2009,ARIZ,MESA,470833,1C,29420,24200,3121,6374,1213,979,166,1262,1013,180,3589,2965,302
UCR_2009,ARIZ,PHOENIX,1597397,1A,88604,68354,14342,22152,3078,2358,594,3482,2644,691,11240,8539,1580
UCR_2009,ARIZ,TUCSON,547981,1B,64487,54371,6888,10196,3368,2846,383,3504,2943,415,13268,10909,1285
UCR_2009,CALIF,ANAHEIM,335970,1C,13164,12193,762,3041,462,431,28,527,490,34,1255,1196,46
UCR_2009,CALIF,BAKERSFIELD,330897,1C,24274,18141,5984,7147,495,328,165,642,397,243,2349,1922,409
UCR_2009,CALIF,FRESNO,481370,1C,42283,32798,9302,8695,680,510,168,903,657,244,4110,3380,707
UCR_2009,CALIF,LONG BEACH,463969,1C,36636,23452,12787,6097,1660,951,695,2050,1115,911,3365,2603,720
UCR_2009,CALIF,LOS ANGELES,3848776,1A,146833,103730,42851,30623,5547,3670,1869,6728,4359,2358,10693,9341,1336
UCR_2009,CALIF,OAKLAND,404553,1C,23739,5707,17831,4805,153,50,101,639,129,502,1739,834,890
UCR_2009,CALIF,RIVERSIDE,299871,1C,13268,10770,2455,3404,379,303,75,487,383,102,1048,860,187
UCR_2009,CALIF,SACRAMENTO,470308,1C,32808,17865,14572,8409,905,414,482,1195,536,649,2321,1614,679
UCR_2009,CALIF,SAN DIEGO,1314773,1A,71014,50840,18310,11459,2743,1958,749,3164,2233,884,8752,7184,1341
UCR_2009,CALIF,SAN FRANCISCO,809755,1B,47160,24978,22092,8450,518,320,198,1459,877,577,2348,1750,592
UCR_2009,CALIF,SAN JOSE,954009,1B,39879,34662,4237,9432,1360,1168,160,1689,1449,197,4223,3776,346
UCR_2009,CALIF,SANTA ANA,339196,1C,13489,12414,1016,2596,504,488,12,560,542,14,1184,1157,21
UCR_2009,CALIF,STOCKTON,292212,1C,16486,10706,5387,5054,20,14,6,106,57,46,2379,1787,551
UCR_2009,COLO,AURORA,324014,1C,25298,14036,10819,5256,822,394,416,875,416,445,4104,2233,1790
UCR_2009,COLO,COLORADO SPRINGS,401626,1C,23107,17918,4667,6097,626,497,118,658,526,121,2246,1747,433
UCR_2009,COLO,DENVER,604680,1B,13271,9097,3968,4435,68,46,21,219,115,100,524,441,72
UCR_2009,GA,ATLANTA,552901,1B,64487,7928,56236,11740,5041,330,4699,5119,344,4763,11994,1945,9988
UCR_2009,ILL,CHICAGO,2848431,1A,145422,40327,104021,49732,NA,NA,NA,NA,NA,NA,19554,8419,10998
UCR_2009,IND,INDIANAPOLIS,813471,1B,72671,32355,40281,18256,2317,797,1519,2664,902,1761,9829,5039,4788
UCR_2009,KANS,WICHITA,367635,1C,16822,10683,5805,6252,927,545,372,959,565,383,1571,1033,510
UCR_2009,KY,LOUISVILLE METRO,631260,1B,47851,24836,22859,10962,5507,2664,2828,6185,2960,3209,6188,3690,2478
UCR_2009,MASS,BOSTON,624222,1B,23281,9751,13160,9328,302,88,211,677,202,465,1549,782,743
UCR_2009,MD,BALTIMORE,638755,1B,123222,16481,106012,13841,6811,505,6265,7020,515,6464,2176,268,1894
UCR_2009,MICH,DETROIT,908441,1B,30597,2562,27967,8652,1360,56,1302,1904,69,1831,1693,141,1549
UCR_2009,MINN,MINNEAPOLIS,382618,1C,30727,7348,20348,5450,1183,273,838,1193,273,848,7846,2044,4691
